1.0035,0.46187	1.04419728,0.46494502	1.07830045,0.4544961	1.12041055,0.4376401	1.1233905,0.43361364	1.14141436,0.41332669	1.11899738,0.43471241	1.0865248,0.4251432	1.05144404,0.43256576	1.0032237,0.44175985	0.98671342,0.45979438	1.02410473,0.43877685	1.0777796,0.42408011	1.13576253,0.41549285	1.15133931,0.42101297	1.17836261,0.4136139	1.02654646,0.45533564	1.09603162,0.43041799	1.0223668,0.43949987	1.03754735,0.45078684	0.9800806,0.48574465	1.10609407,0.47169341	1.077182,0.43887172	1.12101039,0.41505875	1.16596357,0.42912397	1.15836868,0.41114988	1.06989425,0.42952022	1.02299572,0.44727348	1.06050053,0.45722026	1.07945888,0.45114494	0.96752136,0.49358894	1.00185457,0.47276864	1.06478265,0.45026832	1.11838773,0.42609199	1.14890352,0.41875351	1.18409873,0.41727453	1.04322658,0.47328364	1.08882736,0.4473231	0.96895189,0.47724189	0.96582114,0.474672
0.23336,0.68894	0.23336932,0.69394243	0.22827558,0.68848675	0.21912038,0.694067	0.21855444,0.69107372	0.20299043,0.6856941	0.21676097,0.66934467	0.22331385,0.67446036	0.21576005,0.61277962	0.25449742,0.74427273	0.24929205,0.70028581	0.24363583,0.69587258	0.22679253,0.68302846	0.21404078,0.67079869	0.21213732,0.65278086	0.21005104,0.6758054	0.23953301,0.67838259	0.22241582,0.65172991	0.23863563,0.65730834	0.23534154,0.65586773	0.24974641,0.66055242	0.24464431,0.67440045	0.23340264,0.65677508	0.22658976,0.66872209	0.22607068,0.69379854	0.21564322,0.69835915	0.23235429,0.63716968	0.25176179,0.69772728	0.26224083,0.74942039	0.24004447,0.67609205	0.24726262,0.69831356	0.23789626,0.66055245	0.22110153,0.6434079	0.20561533,0.64720689	0.2006271,0.63859472	0.18825177,0.63955643	0.2278486,0.611272	0.23048648,0.54907144	0.24950417,0.69956058	0.29536155,0.813204
0.28309,0.6876	0.28260551,0.69438207	0.28150124,0.68772013	0.27434043,0.69056868	0.27853913,0.69201415	0.25276715,0.68767752	0.27607353,0.67813068	0.27803918,0.67765285	0.27133826,0.62413924	0.30816415,0.73370828	0.29801604,0.70093637	0.28762322,0.69651121	0.28189497,0.68701651	0.26902478,0.67690947	0.26836553,0.66190028	0.26043011,0.68372537	0.28700917,0.68306915	0.27805192,0.65663663	0.28366726,0.66242934	0.28690078,0.66424537	0.30113305,0.66178268	0.29829425,0.67323927	0.2917783,0.65845083	0.28989209,0.66832568	0.28999929,0.69153211	0.26732285,0.69761028	0.28424022,0.64184802	0.30111267,0.69051889	0.32377255,0.73397878	0.29662437,0.67396057	0.30387466,0.6992059	0.29823986,0.66392828	0.2910823,0.64936009	0.2879361,0.65586047	0.28061297,0.65494455	0.26748006,0.65466532	0.29216496,0.62346888	0.28978034,0.56762168	0.30171474,0.69623682	0.34335505,0.7964229
0.32745,0.67551	0.33896392,0.6836349	0.3333604,0.67806061	0.33110705,0.68075458	0.33522413,0.6787803	0.32455897,0.68044929	0.32857546,0.66768839	0.33265455,0.66825341	0.32674759,0.62052601	0.35334363,0.71085847	0.34762047,0.68911447	0.33629035,0.68812048	0.33833223,0.68429302	0.33394675,0.67519527	0.33286487,0.65973096	0.33258477,0.67247539	0.3410886,0.6741108	0.34005281,0.65909403	0.33470686,0.65600341	0.34240883,0.66063964	0.33771543,0.65217999	0.34323736,0.66193984	0.33891302,0.65437915	0.34131854,0.65269892	0.34169863,0.68069379	0.33631208,0.67750669	0.33721544,0.63839621	0.34631182,0.68483365	0.36349754,0.72028398	0.34659884,0.6694709	0.34013024,0.69099516	0.33942841,0.66318903	0.33584783,0.65204842	0.33904038,0.65659513	0.33128522,0.65701408	0.3328578,0.65847882	0.33306066,0.62688132	0.34194763,0.58149306	0.3466023,0.69088788	0.38173664,0.77605076
0.45917,0.6661	0.46991017,0.66933615	0.47540888,0.66665184	0.48417456,0.673496	0.47721918,0.6725209	0.48043367,0.67591592	0.48974367,0.66462993	0.48082872,0.66653588	0.47378557,0.63534758	0.47978253,0.67696668	0.46198963,0.66793013	0.47147485,0.6764372	0.47278132,0.6778049	0.47277849,0.6745479	0.47674658,0.66345616	0.47183204,0.66869118	0.47017171,0.66089214	0.47659854,0.65748257	0.4738109,0.66365529	0.46692994,0.65748847	0.44610168,0.64850687	0.47483244,0.66429994	0.47794548,0.66094901	0.48451539,0.65560531	0.48801035,0.66935208	0.48396259,0.66348484	0.47127815,0.64255312	0.47022134,0.68314717	0.48637237,0.68153995	0.47649084,0.66002984	0.45234341,0.6736493	0.46385057,0.66651692	0.46665306,0.66736806	0.47859113,0.67524291	0.48470406,0.67435743	0.48705249,0.67615437	0.46034163,0.64689713	0.46312845,0.61678673	0.46740454,0.67495682	0.4849349,0.72323684
0.56804,0.66341	0.58248684,0.66471094	0.59371954,0.66230689	0.62460658,0.66632681	0.61759506,0.66311988	0.65701418,0.67592061	0.61614613,0.66466049	0.61896711,0.66995642	0.58949679,0.66250899	0.58026181,0.65870672	0.57013363,0.6560624	0.5944845,0.66760207	0.61933164,0.68070971	0.63327604,0.68094404	0.64442931,0.6747111	0.67067649,0.67072413	0.58840949,0.66452242	0.62173345,0.67150168	0.59781124,0.67444723	0.60016739,0.66111781	0.55765044,0.64828954	0.60462697,0.66556465	0.6225564,0.66292458	0.63818598,0.65816195	0.63318646,0.66177188	0.66372844,0.65366795	0.61880581,0.65549887	0.60311697,0.68444846	0.60173498,0.65873616	0.61604784,0.66519087	0.56450277,0.66658089	0.59718906,0.68126155	0.63683709,0.69135631	0.66141883,0.68582544	0.66197256,0.69414933	0.7006293,0.69766935	0.6231286,0.67356422	0.62312977,0.65787417	0.5829776,0.67435136	0.59057777,0.6720606
0.50352,0.72791	0.51028707,0.71610065	0.5176994,0.71005871	0.52528246,0.6858677	0.52787521,0.68617426	0.53882417,0.67935799	0.53123573,0.69080936	0.5252781,0.69058013	0.5182573,0.72472797	0.50229185,0.70143338	0.49056042,0.71731724	0.50578328,0.71636074	0.51446292,0.7140547	0.53134679,0.70322063	0.53216583,0.68877668	0.53144303,0.67450797	0.49637252,0.7066074	0.51919967,0.69231358	0.50656547,0.70639359	0.50467441,0.70780262	0.48454007,0.71866303	0.51040791,0.70158012	0.52211361,0.70227982	0.5224489,0.68670003	0.52163794,0.67775113	0.51968894,0.66710723	0.51945725,0.6893639	0.5124658,0.71639035	0.50406561,0.7108339	0.51350843,0.69183324	0.48121417,0.72153203	0.49726301,0.72535758	0.52354001,0.71518736	0.53472761,0.69460735	0.54475157,0.69478641	0.54227267,0.68541596	0.51194125,0.68528375	0.5132298,0.68037769	0.48764215,0.70520834	0.48575034,0.72731429
0.39331,0.79778	0.39301613,0.77411026	0.40471546,0.75880415	0.40081744,0.72293174	0.37993073,0.72562633	0.38299951,0.68561184	0.38073917,0.72622272	0.38043139,0.71785339	0.39764061,0.79351386	0.38871199,0.76132146	0.39473875,0.77184723	0.40208085,0.75429184	0.4077661,0.74414578	0.40481942,0.7257271	0.39866772,0.70773947	0.39972805,0.68180589	0.39949861,0.74159011	0.3979958,0.71039668	0.39552147,0.73169941	0.39797914,0.73987583	0.38556954,0.77467157	0.38500906,0.73002273	0.38922069,0.73739469	0.3819984,0.71492616	0.37164693,0.69867041	0.36566484,0.68768034	0.37998319,0.72584346	0.38996438,0.74748734	0.38356863,0.76014269	0.38295629,0.72187453	0.40081644,0.76842509	0.39903415,0.76207817	0.40454569,0.74341384	0.41787888,0.70618098	0.41480774,0.69154655	0.41450202,0.67477818	0.40062744,0.70182177	0.39750276,0.69728251	0.39108569,0.74756695	0.40034755,0.77148765
0.3597,0.81256	0.35772932,0.78786079	0.34684285,0.77576292	0.33930861,0.7311896	0.3437256,0.7354927	0.33161477,0.68710628	0.34040317,0.73076536	0.34380794,0.72147919	0.36184343,0.80889238	0.34889359,0.77441456	0.3543423,0.79128626	0.3517802,0.77024371	0.34335001,0.75390143	0.34179222,0.72904131	0.3359385,0.70980013	0.33108709,0.68552358	0.34697997,0.75194187	0.33574255,0.71963293	0.34247558,0.74197547	0.34192429,0.7511019	0.35314103,0.79412981	0.34152198,0.74095609	0.34158669,0.74654822	0.32953719,0.72546922	0.32362688,0.69993116	0.31455224,0.6920289	0.33385147,0.73530149	0.35133876,0.7538856	0.34033745,0.77938039	0.34599151,0.72951928	0.36450705,0.78691328	0.3611972,0.77510424	0.35531805,0.75142517	0.35707142,0.70987958	0.35248848,0.68912862	0.34851608,0.66917484	0.34794391,0.70678494	0.35191763,0.70393506	0.34432482,0.76324624	0.36425856,0.79056331
0.32745,0.8354	0.3139097,0.81137269	0.300692,0.8002675	0.29049157,0.75043188	0.29496522,0.75178862	0.2734233,0.69050786	0.29542685,0.74380547	0.28984104,0.73882455	0.31124823,0.84092899	0.30517051,0.80137931	0.31762501,0.81794177	0.30586257,0.79838143	0.29775962,0.77439657	0.29589853,0.74856721	0.28651454,0.72360179	0.27924682,0.69250309	0.29952623,0.77380661	0.29133353,0.73837362	0.29803755,0.75918485	0.30044855,0.77260896	0.31845708,0.82443643	0.30093632,0.75731789	0.28734688,0.77044157	0.27202879,0.75463052	0.27834075,0.7167977	0.2693138,0.7102495	0.29027192,0.75908054	0.29514465,0.78097034	0.30015264,0.81220547	0.28875147,0.75225099	0.31787693,0.8156334	0.30650261,0.80785782	0.29340125,0.77829426	0.27730805,0.72416233	0.27270087,0.70542685	0.27118212,0.6714355	0.28425639,0.72787782	0.28512389,0.72730574	0.30353264,0.78945747	0.3216322,0.81942109
0.32745,0.87168	0.31218105,0.84791319	0.30027984,0.83129614	0.28439884,0.78518319	0.2874816,0.7897422	0.26066951,0.72344233	0.28840752,0.7834917	0.28397224,0.77591696	0.31612977,0.87532814	0.3111159,0.8261265	0.32408078,0.84486637	0.30695643,0.82721298	0.29437234,0.80783281	0.28446098,0.78111663	0.2745128,0.76203862	0.26169101,0.73012271	0.3014417,0.80761599	0.28302649,0.76606012	0.29115766,0.79349965	0.30126726,0.80335619	0.32222896,0.84878606	0.29337707,0.79466363	0.28697354,0.80531864	0.26934734,0.7850856	0.26188021,0.75540013	0.25429421,0.74405461	0.28765515,0.79309477	0.29692339,0.80710059	0.29989518,0.83920526	0.28418062,0.77963328	0.3223437,0.84204916	0.30676388,0.82775909	0.28510751,0.80284927	0.26970264,0.74983027	0.26336019,0.72555013	0.25813538,0.69789	0.27940183,0.74848271	0.27507471,0.75168518	0.29978602,0.81011816	0.32111689,0.84242803
0.3503,0.8878	0.34012166,0.8692611	0.32212371,0.85670391	0.301949,0.8166302	0.30986886,0.81632388	0.27354531,0.75390948	0.3092211,0.81093776	0.3016429,0.79999626	0.3388086,0.89305766	0.32531465,0.84934722	0.3451949,0.86168038	0.32790783,0.84723552	0.31391796,0.83349049	0.30110541,0.81316843	0.29079574,0.79334194	0.2812645,0.76674712	0.32025644,0.82719715	0.30385571,0.80020229	0.31253117,0.82053433	0.32096214,0.82780292	0.3408769,0.8590236	0.31224675,0.81457405	0.30286775,0.83152457	0.28662143,0.8097751	0.27978497,0.78620092	0.26966908,0.77122743	0.30345256,0.81301688	0.31359597,0.83087959	0.31555171,0.85945013	0.29809287,0.80319898	0.3354138,0.85459867	0.32092504,0.84547645	0.29983716,0.82781837	0.28393428,0.78233967	0.27626815,0.76207908	0.26671206,0.72900562	0.29460263,0.77730083	0.28928111,0.78040765	0.31171847,0.83117336	0.33726227,0.85745298
0.39062,0.87571	0.38105097,0.85415857	0.3725095,0.84702482	0.35717113,0.81155824	0.35878188,0.81422433	0.33556343,0.76410824	0.35401433,0.81299468	0.35361969,0.79971952	0.38960651,0.87899292	0.37069411,0.83891284	0.38193507,0.85452822	0.37347338,0.84334841	0.36221665,0.83448949	0.3561024,0.81927817	0.34680417,0.79888119	0.34268955,0.77064851	0.36714928,0.82158771	0.35006306,0.79624335	0.36010583,0.81841776	0.36730633,0.82352592	0.38455122,0.84438643	0.35575563,0.81595102	0.36261014,0.82460521	0.3519624,0.81072414	0.33707758,0.78687831	0.33084942,0.78377934	0.35331962,0.81137463	0.36449447,0.82782563	0.37356854,0.84956517	0.35368767,0.80592063	0.39176668,0.84269062	0.3813615,0.8402972	0.36699332,0.82775336	0.36071571,0.79066372	0.34920218,0.78055032	0.34180432,0.75553229	0.36003972,0.78277375	0.34914254,0.78312544	0.36845998,0.82218842	0.39603401,0.84362016
0.41884,0.85958	0.41915278,0.84043318	0.4259596,0.82853369	0.41392601,0.80174421	0.39811702,0.80275067	0.39209684,0.76246405	0.40043695,0.80550975	0.39820062,0.79544659	0.42237083,0.8606492	0.41325156,0.82439691	0.42984075,0.82726286	0.42227256,0.82586229	0.42307056,0.8199173	0.41842572,0.80723091	0.4094106,0.79503792	0.4039495,0.76898369	0.41934597,0.80535971	0.41435328,0.79008446	0.41470964,0.80282949	0.41912098,0.80737702	0.42318958,0.82264778	0.4108371,0.80210265	0.41619608,0.81244943	0.3979894,0.80322932	0.38765646,0.77981214	0.38472249,0.77344866	0.40115663,0.80342452	0.41368689,0.81593751	0.41379084,0.83100469	0.39841962,0.79733346	0.42837022,0.82672763	0.42658263,0.82895636	0.41968945,0.82070817	0.4233389,0.79373727	0.40392315,0.78332081	0.40718207,0.75934579	0.40981355,0.77868923	0.41236986,0.77961715	0.41954146,0.80869489	0.43114024,0.82813726
0.54788,0.79912	0.55459249,0.79523857	0.54762042,0.79468374	0.55268748,0.77880198	0.55254838,0.77900051	0.53627796,0.76855131	0.55531478,0.78172312	0.54680468,0.7764796	0.56564368,0.80659368	0.53398922,0.77956957	0.52636026,0.78252782	0.5380512,0.79265517	0.54185565,0.79920738	0.54753875,0.79505854	0.54536397,0.78669204	0.54504769,0.76514917	0.53280806,0.77681352	0.53800797,0.77837837	0.53288852,0.78490878	0.5345326,0.78208432	0.5224703,0.77709019	0.52900171,0.78164821	0.54406615,0.7917153	0.54250525,0.78649845	0.53283257,0.77223195	0.53712441,0.76608391	0.54157145,0.78138297	0.53423316,0.7965881	0.53062293,0.79360892	0.52426555,0.78049006	0.52092511,0.78479304	0.52868063,0.79875149	0.53799838,0.80572061	0.54894004,0.7943382	0.55699338,0.79307899	0.54882115,0.78128777	0.52906575,0.7724717	0.53444101,0.77181721	0.51972028,0.77818645	0.52160129,0.79016372
0.63927,0.76419	0.64631303,0.76230637	0.66330694,0.76518631	0.68362542,0.76694674	0.68180184,0.76183912	0.66978878,0.76123725	0.68340021,0.76717691	0.68237404,0.77488224	0.66861535,0.76797863	0.63841981,0.75019007	0.61785144,0.74998281	0.65376365,0.76400702	0.68579046,0.78228463	0.69789652,0.78470546	0.69216816,0.77948356	0.69372847,0.76667927	0.63933338,0.75602568	0.67375494,0.77020131	0.65684975,0.77000122	0.6524285,0.76464542	0.61672097,0.74149231	0.6707295,0.76912204	0.68109491,0.78216953	0.70361582,0.77347937	0.70085827,0.76244339	0.70065134,0.75882501	0.68593093,0.77036964	0.67082959,0.78232976	0.65904065,0.75837107	0.67513419,0.77481138	0.612978,0.74932981	0.65015362,0.7740684	0.68659877,0.78643176	0.71330296,0.79719542	0.72258445,0.79328509	0.73651693,0.78556813	0.6524463,0.77455025	0.6671011,0.78752744	0.61935272,0.76034976	0.63115914,0.74585074
0.60164,0.82599	0.60645744,0.81538726	0.61243056,0.8117985	0.62705276,0.80832625	0.6317955,0.8097035	0.63396118,0.76741951	0.62838975,0.81887005	0.62893561,0.82849205	0.62418722,0.81493159	0.58271518,0.80358204	0.60068478,0.83513438	0.59969032,0.83146305	0.61767881,0.8188319	0.62420156,0.8082118	0.63009664,0.79225811	0.61952093,0.77054824	0.59718769,0.84542549	0.61478105,0.84739088	0.61619939,0.85031554	0.60976014,0.84435722	0.59304245,0.83439687	0.6110039,0.83806843	0.61345868,0.82733638	0.62308102,0.8019897	0.61946569,0.78741658	0.6242603,0.76715547	0.62343162,0.85017665	0.59974165,0.81176575	0.58988674,0.81038514	0.60550188,0.83848951	0.60008718,0.83431872	0.60979733,0.85298374	0.62833477,0.8486199	0.64503281,0.83379955	0.64986577,0.80747108	0.64779111,0.78968838	0.61712934,0.85706772	0.639379,0.8725011	0.59485863,0.84531027	0.56550689,0.78481094
0.55325,0.87436	0.54837243,0.86127258	0.54983241,0.85086485	0.55152109,0.84507787	0.53595679,0.85019246	0.54851935,0.77676665	0.55348057,0.8501683	0.54968953,0.86021834	0.5483534,0.86821531	0.52547085,0.84733416	0.55497907,0.89042355	0.54150953,0.86853132	0.54425793,0.84898825	0.55209571,0.82985041	0.54835496,0.80625354	0.54906591,0.77618135	0.55530941,0.88762145	0.55901473,0.88251381	0.56295267,0.90084373	0.55767956,0.88502047	0.55946797,0.89733735	0.54762308,0.89252184	0.54338112,0.8763612	0.53578367,0.84064796	0.52534407,0.81105717	0.5327552,0.78527228	0.55806577,0.91083803	0.52114736,0.85500159	0.51772647,0.86308764	0.53610186,0.89111003	0.56788718,0.88697606	0.56752537,0.89233555	0.55818146,0.88366113	0.56892953,0.86163237	0.55895133,0.82519768	0.57165215,0.78954647	0.55563283,0.90616874	0.58782567,0.93160662	0.5581569,0.89237509	0.51505346,0.81055872
0.51427,0.90527	0.50453814,0.88759956	0.49776611,0.87529087	0.49640769,0.86593247	0.50296107,0.86474524	0.49183657,0.77327491	0.4989624,0.86157901	0.5021199,0.87673573	0.50814788,0.89114765	0.48983766,0.86311954	0.52183157,0.92569784	0.49411222,0.89363393	0.48664618,0.8617453	0.48732709,0.83330498	0.48216836,0.81031659	0.48027366,0.77433246	0.50861605,0.9227139	0.50244965,0.91107115	0.51196307,0.93296573	0.51259023,0.91393464	0.53494976,0.93394106	0.51031568,0.91576542	0.49158264,0.89639658	0.48061644,0.85525824	0.4684342,0.8228083	0.47260308,0.79104476	0.51318762,0.9395348	0.47866629,0.87229007	0.48086288,0.88247281	0.49928401,0.91293777	0.54212382,0.91831732	0.53163654,0.91788907	0.51870853,0.89958672	0.51888043,0.87151337	0.51127826,0.82029265	0.50982816,0.77852097	0.52276259,0.9289788	0.54853409,0.96670268	0.52801128,0.92645573	0.47341666,0.82522424
0.49142,0.93751	0.47185496,0.92387413	0.45887763,0.91024029	0.45708458,0.88983731	0.46065375,0.89359616	0.44881654,0.76766389	0.45420101,0.89829345	0.46261636,0.90520947	0.47555256,0.92447538	0.45724732,0.89542208	0.50977604,0.95827246	0.46637454,0.92355934	0.45441197,0.88326697	0.45044718,0.85560982	0.44526835,0.82334943	0.43581441,0.7792591	0.49175015,0.96349278	0.47482151,0.94444581	0.49136408,0.97481833	0.48679126,0.95193368	0.52138261,0.98197459	0.47738227,0.96256385	0.45703336,0.93404543	0.43699422,0.89218598	0.41834833,0.85302457	0.41406386,0.81876608	0.48531316,0.98163494	0.44648882,0.90466393	0.44471653,0.91914269	0.46741338,0.96256689	0.52486445,0.95633669	0.49931441,0.95710507	0.46969267,0.93375365	0.46572269,0.89677278	0.44844692,0.83535641	0.44929031,0.78307519	0.48863431,0.96333462	0.51817971,1.00909681	0.50418291,0.96622493	0.4353658,0.85147203
0.4968,0.9617	0.48008651,0.9478508	0.46595244,0.93397826	0.4557049,0.92140064	0.46097607,0.92357411	0.42715022,0.78886785	0.4559309,0.92248073	0.46385397,0.9352548	0.48186051,0.95287076	0.46043018,0.92020579	0.51980008,0.97430361	0.4751398,0.94642987	0.45229079,0.90831154	0.44529843,0.87887565	0.43617495,0.85084009	0.42538735,0.80554361	0.49985232,0.97630454	0.47906917,0.96559234	0.50274857,0.99053283	0.49580065,0.97559767	0.53254118,0.99468099	0.48213042,0.98756126	0.46066993,0.96469638	0.43328054,0.91756995	0.41535455,0.87675892	0.40750122,0.84753625	0.49019858,1.00710116	0.44761207,0.92473832	0.45082667,0.94628995	0.46850414,0.98452863	0.52937674,0.97248555	0.50213972,0.97517495	0.46897981,0.95518988	0.45980971,0.9219971	0.43857687,0.85372001	0.43140368,0.80116196	0.493869,0.98563146	0.53007195,1.03171324	0.51061969,0.9857603	0.43339349,0.86925704
0.51696,0.96842	0.50391041,0.95790109	0.48500431,0.94604232	0.47632671,0.93863086	0.47850079,0.93916909	0.43836833,0.82110514	0.47085602,0.93776474	0.4853542,0.95347668	0.49992792,0.96014878	0.47720452,0.9323508	0.54040194,0.97854684	0.49320965,0.95580081	0.46296559,0.92277411	0.45424733,0.90275793	0.44654606,0.87354221	0.43361191,0.83503964	0.51489126,0.98135796	0.49566296,0.9785865	0.51621342,0.99754021	0.51083863,0.97977025	0.5572963,0.99346373	0.50207906,0.99333652	0.47771729,0.9740829	0.44886697,0.93379665	0.43062051,0.90266485	0.42924968,0.86815781	0.51778795,1.01013657	0.46500798,0.94193999	0.46712798,0.95530155	0.48811926,0.9900419	0.55135375,0.97369289	0.51822513,0.98690126	0.48341468,0.97037911	0.4734516,0.94556387	0.45041821,0.88670334	0.43811196,0.82090364	0.50751539,0.99898478	0.55135095,1.0400563	0.52843362,0.99266119	0.44708574,0.88264917
0.5546,0.95229	0.53777188,0.94555067	0.52502384,0.93771016	0.52366723,0.9351927	0.52264772,0.93396175	0.48335754,0.8352175	0.52120443,0.93837536	0.52873526,0.94591403	0.53725286,0.94775244	0.51297788,0.92484224	0.56534461,0.96080583	0.52216274,0.94711258	0.50968931,0.9255078	0.49891126,0.91146632	0.49024951,0.88341713	0.47295843,0.84696401	0.54526867,0.97078973	0.52996512,0.97273834	0.54794265,0.9859473	0.54062322,0.97120921	0.58705798,0.96523807	0.54338055,0.97371006	0.53251804,0.95999946	0.50268686,0.93001425	0.49280799,0.90070344	0.47665463,0.87548785	0.55837556,0.98976655	0.50676953,0.93123916	0.5192633,0.94040596	0.53483299,0.97174705	0.58340173,0.95186678	0.56257618,0.96999569	0.54619174,0.96463803	0.5360748,0.94863742	0.51804693,0.90677058	0.50546259,0.85406884	0.56291015,0.98203109	0.59489412,1.0193752	0.57238006,0.96929671	0.49245685,0.88251346
0.59895,0.92542	0.58583389,0.91926144	0.58295531,0.91632031	0.58195894,0.91747758	0.55884124,0.92410725	0.54355548,0.84203811	0.57932243,0.92146692	0.58132144,0.92683917	0.58650615,0.92921159	0.55953341,0.90196914	0.6039344,0.927305	0.57404156,0.92663497	0.56248392,0.91630059	0.56367884,0.90799876	0.55487245,0.88304374	0.54746853,0.8542282	0.59508237,0.93846225	0.59390826,0.94995857	0.60332657,0.95242983	0.59638585,0.9430883	0.61098079,0.92479068	0.58829633,0.94392086	0.57343733,0.93581132	0.56021101,0.90966484	0.54389954,0.88639573	0.54734707,0.86619677	0.601862,0.96437454	0.55114822,0.91483247	0.5547674,0.91498058	0.58042625,0.94412094	0.61169858,0.92022082	0.60358598,0.94080169	0.59102395,0.95092945	0.59382111,0.94031535	0.58054696,0.90336303	0.57266946,0.86326523	0.59578038,0.95922103	0.6384811,0.97934578	0.60303974,0.9333838	0.5376864,0.8688307
0.65272,0.87302	0.65377866,0.87206179	0.65294228,0.87735209	0.66539162,0.88225104	0.66731473,0.88349419	0.64315821,0.84769993	0.6673621,0.88629645	0.66678662,0.89582201	0.66837756,0.88035331	0.63605725,0.85512737	0.65280555,0.86668216	0.64439737,0.88670726	0.65597252,0.88850558	0.6587568,0.88802712	0.64967381,0.87722409	0.65330253,0.85135202	0.6544323,0.89233468	0.6704347,0.90730981	0.66864951,0.90453647	0.65948798,0.89862018	0.65027239,0.8649005	0.66146305,0.89162841	0.66492857,0.89351813	0.65834695,0.88114064	0.65281152,0.86553452	0.65024725,0.84998776	0.68036804,0.90770206	0.63369508,0.87800519	0.64104479,0.86860818	0.66108647,0.89330557	0.65052288,0.86933694	0.653978,0.89876038	0.67475416,0.90996117	0.67468717,0.91664635	0.6686432,0.90187862	0.66626108,0.87350831	0.66691056,0.91036208	0.69885743,0.92182543	0.65276176,0.88202198	0.60038553,0.84064025
0.74008,0.81659	0.7527072,0.81950836	0.77331489,0.82871579	0.79775007,0.84356486	0.797887,0.84263177	0.80819488,0.86347392	0.80628161,0.85024062	0.78875373,0.8485858	0.76672108,0.82980397	0.73328343,0.80793503	0.72603313,0.79662297	0.7652632,0.81718477	0.79862604,0.84503139	0.81805391,0.85762121	0.83003011,0.86076859	0.82791496,0.85032511	0.76178531,0.80807677	0.80864055,0.8371441	0.78635068,0.82889367	0.774224,0.8195867	0.72111188,0.78831568	0.76724099,0.82806376	0.7970326,0.84035998	0.80861576,0.84917308	0.82707533,0.84036296	0.82545279,0.84643651	0.79507804,0.83737334	0.76677361,0.84141451	0.7725926,0.81205839	0.7880515,0.83370044	0.72383068,0.78478277	0.76011716,0.81239935	0.81850581,0.84084945	0.82794312,0.87162495	0.85486941,0.87471153	0.83955878,0.87667677	0.7939088,0.82528544	0.80023439,0.82609216	0.74047139,0.79678114	0.71778941,0.78881954
0.81938,0.79912	0.84143484,0.80764785	0.87251497,0.81672686	0.89713027,0.83506255	0.89878685,0.83050791	0.94881118,0.86452458	0.90812607,0.83839227	0.8953459,0.83890962	0.87148505,0.81663582	0.83398599,0.80346654	0.79219056,0.78735884	0.85494818,0.8048409	0.89765228,0.82861711	0.93597663,0.83757408	0.95638119,0.84224455	0.93925105,0.84543331	0.84372639,0.79606905	0.91590226,0.81409441	0.87890353,0.80619116	0.85623743,0.81026215	0.77997098,0.77000784	0.85241742,0.81127032	0.88550734,0.82857487	0.91388039,0.83858842	0.91903601,0.83496697	0.93463203,0.8347857	0.89022916,0.81344802	0.88043324,0.81200296	0.87272097,0.79902963	0.87578905,0.81517334	0.78321678,0.76607981	0.82415277,0.7938465	0.89648155,0.82065947	0.92528109,0.84169436	0.97524781,0.84620233	0.9701534,0.85432144	0.86958683,0.80690379	0.88076807,0.80859912	0.80890249,0.78117145	0.78944842,0.77368853
0.91212,0.783	0.9470671,0.79312307	0.97911229,0.80337356	0.9980397,0.81551192	1.01065649,0.81194805	1.09164759,0.82437576	1.01973293,0.81307673	1.0212381,0.8125783	0.98218526,0.79890718	0.93165613,0.782491	0.8673372,0.76898358	0.94782289,0.7819223	1.01580907,0.79463088	1.04580769,0.8041181	1.05994669,0.80357063	1.07041159,0.81773382	0.93390241,0.77325475	1.01107169,0.78751568	0.96769122,0.77662194	0.94852216,0.78633494	0.84091253,0.7566318	0.92960579,0.79340053	0.97676546,0.81449395	1.02859594,0.81376595	1.0198865,0.81908059	1.04931878,0.81117277	0.96955134,0.79378016	0.98290366,0.76939333	0.96545216,0.78133138	0.97715374,0.7918214	0.84707217,0.74171819	0.89448577,0.77002814	0.97824972,0.79481374	1.02602234,0.81084449	1.08291652,0.81381225	1.09165427,0.81704295	0.96085612,0.78214923	0.96340394,0.78578926	0.87337138,0.75855003	0.8761409,0.74240728
0.99142,0.75612	1.04298817,0.76444596	1.07864823,0.7677561	1.12400224,0.77370603	1.12703769,0.7728236	1.22553454,0.77078834	1.12029568,0.7805572	1.12764925,0.76353902	1.09714152,0.75715754	1.0276932,0.74636115	0.9378244,0.7377448	1.04101706,0.73777752	1.10671921,0.74700654	1.1727476,0.74291376	1.17894447,0.75318173	1.19530405,0.76233742	1.02750016,0.73256319	1.11677372,0.73797987	1.04748931,0.73381464	1.02479323,0.75051471	0.91111421,0.73525822	1.01837472,0.75413401	1.07105446,0.76991401	1.11927992,0.77442709	1.15258053,0.7708299	1.16410005,0.77645039	1.06376169,0.75541682	1.07973013,0.72414368	1.06472087,0.75740796	1.07235664,0.75660198	0.91275903,0.72225747	0.97111938,0.74096495	1.06953105,0.75891225	1.13372254,0.76540195	1.17097818,0.77384511	1.19391264,0.77027147	1.03195022,0.75402162	1.06701036,0.73484223	0.97322905,0.7220368	0.97018424,0.71602938
																																							
